"Lot.Frontage","Lot.Area","Overall.Qual","Overall.Cond","Year.Built","Year.Remod.Add","Mas.Vnr.Area","Bsmt.Unf.SF","Total.Bsmt.SF","X1st.Flr.SF","X2nd.Flr.SF","Low.Qual.Fin.SF","Bsmt.Full.Bath","Bsmt.Half.Bath","Full.Bath","Half.Bath","Bedroom.AbvGr","Kitchen.AbvGr","TotRms.AbvGrd","Fireplaces","Garage.Yr.Blt","Garage.Cars","Garage.Area","Wood.Deck.SF","Open.Porch.SF","Enclosed.Porch","X3Ssn.Porch","Screen.Porch","Pool.Area","Misc.Val","Mo.Sold","Yr.Sold","SalePrice"
141,31770,6,5,1960,1960,112,441,1080,1656,0,0,1,0,1,0,3,1,7,2,1960,2,528,210,62,0,0,0,0,0,5,2010,215
80,11622,5,6,1961,1961,0,270,882,896,0,0,0,0,1,0,2,1,5,0,1961,1,730,140,0,0,0,120,0,0,6,2010,105
81,14267,6,6,1958,1958,108,406,1329,1329,0,0,0,0,1,1,3,1,6,0,1958,1,312,393,36,0,0,0,0,12500,6,2010,172
93,11160,7,5,1968,1968,0,1045,2110,2110,0,0,1,0,2,1,3,1,8,2,1968,2,522,0,0,0,0,0,0,0,4,2010,244
74,13830,5,5,1997,1998,0,137,928,928,701,0,0,0,2,1,3,1,6,1,1997,2,482,212,34,0,0,0,0,0,3,2010,189.9
78,9978,6,6,1998,1998,20,324,926,926,678,0,0,0,2,1,3,1,7,1,1998,2,470,360,36,0,0,0,0,0,6,2010,195.5
41,4920,8,5,2001,2001,0,722,1338,1338,0,0,1,0,2,0,2,1,6,0,2001,2,582,0,0,170,0,0,0,0,4,2010,213.5
43,5005,8,5,1992,1992,0,1017,1280,1280,0,0,0,0,2,0,2,1,5,0,1992,2,506,0,82,0,0,144,0,0,1,2010,191.5
39,5389,8,5,1995,1996,0,415,1595,1616,0,0,1,0,2,0,2,1,5,1,1995,2,608,237,152,0,0,0,0,0,3,2010,236.5
60,7500,7,5,1999,1999,0,994,994,1028,776,0,0,0,2,1,3,1,7,1,1999,2,442,140,60,0,0,0,0,0,6,2010,189
75,10000,6,5,1993,1994,0,763,763,763,892,0,0,0,2,1,3,1,7,1,1993,2,440,157,84,0,0,0,0,0,4,2010,175.9
63,8402,6,5,1998,1998,0,789,789,789,676,0,0,0,2,1,3,1,7,1,1998,2,393,0,75,0,0,0,0,0,5,2010,180.4
85,10176,7,5,1990,1990,0,663,1300,1341,0,0,1,0,1,1,2,1,5,1,1990,2,506,192,0,0,0,0,0,0,2,2010,171.5
152,12134,8,7,1988,2005,0,132,559,1080,672,0,0,0,2,0,4,1,8,0,1988,2,492,325,12,0,0,0,0,0,6,2010,164
88,11394,9,2,2010,2010,350,411,1856,1856,0,0,1,0,1,1,1,1,8,1,2010,3,834,113,0,0,0,0,0,0,6,2010,394.432
140,19138,4,5,1951,1951,0,744,864,864,0,0,0,0,1,0,2,1,4,0,1951,2,400,0,0,0,0,0,0,0,6,2010,141
85,13175,6,6,1978,1988,119,589,1542,2073,0,0,1,0,2,0,3,1,7,2,1978,2,500,349,0,0,0,0,0,0,2,2010,210
105,11751,6,6,1977,1977,480,1139,1844,1844,0,0,0,0,2,0,3,1,7,1,1977,2,546,0,122,0,0,0,0,0,1,2010,190
85,10625,7,6,1974,1974,81,0,1053,1173,0,0,1,0,2,0,3,1,6,2,1974,2,528,0,120,0,0,0,0,0,1,2010,170
65,8450,5,6,1968,1968,0,281,1056,1056,0,0,1,0,1,0,3,1,6,1,1968,1,304,0,85,184,0,0,0,0,7,2010,142
70,8400,4,5,1970,1970,0,0,882,882,0,0,1,0,1,0,2,1,4,0,1970,2,525,240,0,0,0,0,0,0,4,2010,126
26,5858,7,5,1999,1999,0,354,1405,1337,0,0,1,0,2,0,2,1,5,1,1999,2,511,203,68,0,0,0,0,0,6,2010,184
21,1680,6,5,1971,1971,504,327,483,483,504,0,0,0,1,1,2,1,5,0,1971,1,264,275,0,0,0,0,0,0,2,2010,96
21,1680,5,5,1971,1971,492,225,525,525,567,0,0,0,1,1,3,1,6,0,1997,1,320,0,0,0,0,0,0,0,3,2010,105.5
21,1680,6,5,1971,1971,381,525,525,525,567,0,0,0,1,1,3,1,6,0,1971,1,264,0,0,0,0,0,0,0,3,2010,88
53,4043,6,5,1977,1977,0,709,1069,1069,0,0,0,0,2,0,2,1,4,1,1977,2,440,0,55,0,0,165,0,0,7,2010,127.5
24,2280,6,6,1975,1975,0,341,855,855,601,0,0,0,2,1,3,1,6,1,1975,2,440,173,0,0,0,0,0,0,6,2010,149.9
24,2280,7,6,1975,1975,0,836,836,836,0,0,0,0,1,0,2,1,4,0,1975,1,308,0,30,0,0,0,0,0,6,2010,120
24,2280,6,5,1978,1978,0,544,855,855,601,0,0,0,2,1,3,1,7,1,1978,2,440,26,0,0,0,0,0,0,7,2010,146
102,12858,9,5,2009,2010,162,1590,1590,1627,707,0,0,0,2,1,3,1,10,1,2009,3,751,144,133,0,0,0,0,0,1,2010,376.162
98,11478,8,5,2007,2008,200,486,1704,1704,0,0,1,0,2,0,3,1,7,1,2008,3,772,0,50,0,0,0,0,0,5,2010,306
83,10159,9,5,2009,2010,450,284,1930,1940,0,0,1,0,2,1,3,1,8,1,2010,3,606,168,95,0,0,0,0,0,4,2010,395.192
94,12883,8,5,2009,2010,256,1544,1544,1544,0,0,0,0,2,0,3,1,7,0,2009,3,868,0,35,0,0,0,0,0,6,2010,290.941
95,12182,7,5,2005,2005,226,340,1541,1541,0,0,0,0,2,0,3,1,7,1,2005,2,532,0,70,0,0,0,0,0,5,2010,220
90,11520,9,5,2005,2005,615,1588,1698,1698,0,0,0,0,2,0,3,1,7,1,2005,3,730,192,74,0,0,0,0,0,6,2010,275
79,14122,8,5,2005,2006,240,1794,1822,1822,0,0,0,0,2,0,3,1,8,1,2005,3,678,0,119,0,0,0,0,0,2,2010,259
70,10171,7,5,2004,2004,168,1515,1517,1535,0,0,0,0,2,0,3,1,7,0,2004,2,532,0,0,0,0,0,0,0,3,2010,214
44,6371,7,5,2009,2010,128,625,1358,1358,0,0,1,0,2,0,2,1,6,1,2010,2,484,192,35,0,0,0,0,0,6,2010,224
110,14300,9,5,2003,2004,1095,1473,2846,2696,0,0,1,0,2,1,3,1,10,2,2003,3,958,220,150,0,0,0,0,0,6,2010,500
105,13650,8,5,2002,2002,232,1093,1671,1687,563,0,1,0,2,1,3,1,7,1,2002,3,756,238,130,0,0,0,0,0,6,2010,320
61,7658,9,5,2005,2005,412,1296,1752,1752,0,0,1,0,2,0,2,1,6,1,2005,2,576,196,82,0,0,0,0,0,2,2010,319.9
41,7132,8,5,2006,2006,178,1346,1370,1370,0,0,0,0,2,0,2,1,6,1,2006,2,484,120,49,0,0,0,0,0,4,2010,205
36,2628,7,5,2003,2003,106,764,764,764,862,0,0,0,2,1,2,1,6,0,2003,2,474,0,27,0,0,0,0,0,6,2010,175.5
100,18494,6,5,2005,2005,0,1324,1324,1324,0,0,0,0,2,0,3,1,6,0,2005,2,430,36,23,0,0,0,0,0,1,2010,199.5
43,3203,7,5,2006,2006,14,1129,1145,1145,0,0,0,0,2,0,2,1,6,0,2006,2,437,100,116,0,0,0,0,0,1,2010,160
43,3182,8,5,2004,2005,16,1232,1256,1269,0,0,0,0,2,0,2,1,6,1,2004,2,430,146,20,0,0,144,0,0,4,2010,192
67,13300,7,5,2004,2004,0,58,384,744,630,0,1,0,2,1,3,1,7,1,2004,2,400,100,0,0,0,0,0,0,6,2010,184.5
63,8577,7,5,2004,2004,0,847,847,847,886,0,0,0,2,1,3,1,7,1,2004,2,433,144,48,0,0,0,0,0,4,2010,185.088
108,14774,9,5,1999,1999,165,1393,1393,1422,1177,0,0,0,2,1,4,1,10,1,1999,3,779,668,30,0,0,0,0,0,5,2010,333.168
60,17433,8,5,1998,1998,114,1629,1629,1645,830,0,0,0,2,1,4,1,7,1,1998,3,962,23,172,0,0,256,0,0,1,2010,355
59,10593,7,5,1996,1996,338,801,1720,1720,0,0,1,0,2,0,3,1,7,1,1996,2,527,240,56,154,0,0,0,0,3,2010,260.4
98,12256,8,5,1994,1995,362,431,1463,1500,1122,0,1,0,2,1,3,1,9,2,1994,2,712,186,32,0,0,0,0,0,4,2010,325
92,11764,8,7,1999,2007,348,628,1152,1164,1106,0,0,0,2,1,4,1,9,1,1999,3,671,132,57,0,0,0,0,0,4,2010,290
58,16770,7,5,1998,1998,30,1195,1195,1195,644,0,0,0,2,1,4,1,7,0,1998,2,486,0,81,0,0,0,0,0,6,2010,221
56,14720,8,5,1995,1996,579,1217,2033,2053,1185,0,1,0,2,1,4,1,9,1,1996,3,666,283,86,0,0,0,0,0,3,2010,410
73,8987,8,5,2005,2006,226,1595,1595,1595,0,0,0,0,2,0,2,1,6,1,2005,3,880,144,0,0,0,0,0,0,5,2010,221.5
92,9215,7,5,2009,2010,0,1218,1218,1218,0,0,0,0,2,0,2,1,4,0,2009,2,676,0,136,0,0,0,0,0,4,2010,204.5
72,8640,7,5,2009,2009,0,732,756,764,783,0,0,0,2,1,3,1,7,0,2009,2,614,169,45,0,0,0,0,0,6,2010,215.2
75,9000,8,5,2008,2008,36,488,1566,1566,0,0,1,0,2,0,3,1,7,0,2008,2,750,144,168,0,0,0,0,0,4,2010,262.5
