"column_name","description"
"Lot.Frontage","Linear size of Front of  Lot"
"Lot.Area","Lot Area"
"Overall.Qual","Overall House Quality"
"Overall.Cond","Overall House Condition"
"Year.Built","Year Built"
"Year.Remod.Add","Year Remodelled"
"Mas.Vnr.Area","Masonary Veener  Type"
"Bsmt.Unf.SF","Basement Unfinished Sq Feet"
"Total.Bsmt.SF","Basement Total Sq Feet"
"X1st.Flr.SF","First Floor Sq Feet"
"X2nd.Flr.SF","Second Floor Sq Feet"
"Low.Qual.Fin.SF","Low Quality Finished"
"Bsmt.Full.Bath","Basement Full Baths"
"Bsmt.Half.Bath","Basement Half Baths"
"Full.Bath","Full Baths"
"Half.Bath","Half Baths"
"Bedroom.AbvGr","Bedrooms above Ground"
"Kitchen.AbvGr","Kitchens Above Groiund"
"TotRms.AbvGrd","Total Rooms Above  Ground"
"Fireplaces","Fireplaces"
"Garage.Yr.Blt","Year Garage Built"
"Garage.Cars","Size of garage in car capacity"
"Garage.Area","Size of garage in square feet"
"Wood.Deck.SF","Wood deck area in square feet"
"Open.Porch.SF","Open porch area in square feet"
"Enclosed.Porch","Enclosed porch area in square feet"
"X3Ssn.Porch","Three season porch area in square feet"
"Screen.Porch","Screen porch area in square feet"
"Pool.Area","Pool area in square feet"
"Misc.Val","Value of miscellaneous feature"
"Mo.Sold","Month Sold"
"Yr.Sold","Year Sold"
"SalePrice","Sale Price"
